freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.789e+02,1.360e+01,8.672e+00,5.012e+02
1.5,2.961e+02,2.136e+01,1.631e+01,3.337e+02
3.1,4.172e+01,1.908e+01,1.469e+01,7.549e+01
4.6,3.494e+02,1.778e+01,1.463e+01,3.818e+02
6.2,1.177e+03,1.560e+01,2.264e+01,1.215e+03
7.7,1.895e+03,1.499e+01,1.953e+01,1.930e+03
9.3,2.712e+03,1.507e+01,1.498e+01,2.742e+03
10.8,3.657e+03,1.800e+01,1.456e+01,3.690e+03
12.4,4.812e+03,1.779e+01,1.433e+01,4.845e+03
13.9,6.273e+03,1.610e+01,1.360e+01,6.303e+03
15.5,8.071e+03,1.973e+01,1.210e+01,8.103e+03
17.0,8.699e+03,2.628e+01,1.377e+01,8.739e+03
18.6,9.713e+03,1.998e+01,1.866e+01,9.751e+03
20.1,1.242e+04,2.124e+01,2.498e+01,1.247e+04
21.7,1.590e+04,2.124e+01,4.703e+01,1.597e+04
23.2,1.755e+04,3.337e+01,8.261e+01,1.766e+04
24.8,1.587e+04,5.383e+01,9.007e+01,1.601e+04
26.3,1.693e+04,5.796e+01,6.574e+01,1.706e+04
27.9,2.014e+04,8.153e+01,6.220e+01,2.028e+04
29.4,2.233e+04,1.208e+02,5.680e+01,2.251e+04
31.0,2.616e+04,1.492e+02,4.403e+01,2.635e+04
32.5,3.060e+04,1.791e+02,3.239e+01,3.081e+04
34.1,3.400e+04,2.010e+02,2.379e+01,3.422e+04
35.6,3.973e+04,2.205e+02,2.768e+01,3.998e+04
37.2,4.924e+04,3.529e+02,3.410e+01,4.963e+04
38.7,5.809e+04,6.775e+02,5.613e+01,5.882e+04
40.3,6.100e+04,7.931e+02,5.654e+01,6.185e+04
41.8,5.992e+04,6.803e+02,5.618e+01,6.066e+04
43.4,6.857e+04,5.171e+02,5.227e+01,6.914e+04
44.9,8.525e+04,4.015e+02,9.884e+01,8.576e+04
46.5,9.858e+04,2.248e+02,2.786e+02,9.908e+04
48.0,1.115e+05,1.550e+02,5.564e+02,1.122e+05
49.6,1.297e+05,3.880e+02,8.595e+02,1.309e+05
51.1,1.473e+05,9.009e+02,1.160e+03,1.494e+05
52.6,1.626e+05,2.858e+03,1.953e+03,1.674e+05
54.2,1.819e+05,1.437e+04,4.744e+03,2.010e+05
55.7,2.112e+05,3.763e+04,9.166e+03,2.580e+05
57.3,2.344e+05,4.927e+04,1.083e+04,2.945e+05
58.8,2.726e+05,4.925e+04,1.037e+04,3.322e+05
60.4,3.316e+05,4.722e+04,9.228e+03,3.880e+05
61.9,4.189e+05,4.509e+04,8.154e+03,4.721e+05
63.5,5.339e+05,4.229e+04,6.927e+03,5.831e+05
65.0,6.459e+05,3.214e+04,4.244e+03,6.822e+05
66.6,7.197e+05,2.072e+04,1.984e+03,7.424e+05
68.1,7.727e+05,1.734e+04,1.499e+03,7.916e+05
69.7,8.783e+05,1.276e+04,1.014e+03,8.921e+05
71.2,1.037e+06,7.238e+03,4.630e+02,1.044e+06
72.8,1.144e+06,3.849e+03,2.501e+02,1.148e+06
74.3,1.118e+06,2.265e+03,3.715e+02,1.120e+06
75.9,1.232e+06,1.325e+03,2.995e+02,1.233e+06
77.4,1.334e+06,1.100e+03,1.554e+02,1.335e+06
79.0,1.270e+06,1.238e+03,9.395e+01,1.271e+06
80.5,1.159e+06,1.190e+03,8.021e+01,1.160e+06
82.1,1.041e+06,1.085e+03,1.253e+02,1.042e+06
83.6,9.125e+05,7.574e+02,1.730e+02,9.134e+05
85.2,7.992e+05,5.841e+02,1.900e+02,8.000e+05
86.7,7.194e+05,5.931e+02,1.700e+02,7.201e+05
88.3,6.521e+05,7.328e+02,1.319e+02,6.529e+05
89.8,6.104e+05,9.936e+02,1.134e+02,6.115e+05
91.4,5.972e+05,1.517e+03,1.020e+02,5.988e+05
92.9,6.104e+05,2.055e+03,9.718e+01,6.125e+05
94.5,6.433e+05,2.720e+03,1.130e+02,6.462e+05
96.0,6.900e+05,3.299e+03,1.568e+02,6.935e+05
97.6,7.399e+05,3.927e+03,2.539e+02,7.441e+05
99.1,7.838e+05,4.679e+03,4.243e+02,7.889e+05
100.7,8.093e+05,5.705e+03,7.527e+02,8.157e+05
102.2,8.241e+05,6.943e+03,1.250e+03,8.322e+05
103.7,8.142e+05,8.685e+03,2.028e+03,8.249e+05
105.3,7.914e+05,1.049e+04,2.965e+03,8.049e+05
106.8,7.716e+05,1.152e+04,4.181e+03,7.873e+05
108.4,7.702e+05,1.240e+04,5.585e+03,7.882e+05
109.9,7.710e+05,1.192e+04,7.347e+03,7.902e+05
111.5,7.699e+05,9.956e+03,8.497e+03,7.883e+05
113.0,7.486e+05,7.706e+03,8.914e+03,7.652e+05
114.6,7.390e+05,6.722e+03,8.967e+03,7.547e+05
116.1,7.527e+05,6.403e+03,8.459e+03,7.675e+05
117.7,7.503e+05,5.468e+03,8.103e+03,7.639e+05
119.2,7.148e+05,4.271e+03,7.664e+03,7.267e+05
120.8,6.053e+05,2.944e+03,6.371e+03,6.146e+05
122.3,5.054e+05,1.611e+03,4.549e+03,5.116e+05
123.9,5.460e+05,1.874e+03,4.988e+03,5.529e+05
125.4,5.811e+05,3.604e+03,6.742e+03,5.915e+05
127.0,6.282e+05,4.684e+03,8.496e+03,6.413e+05
128.5,6.324e+05,4.570e+03,1.028e+04,6.472e+05
130.1,5.694e+05,4.407e+03,1.182e+04,5.856e+05
131.6,4.038e+05,3.486e+03,1.021e+04,4.175e+05
133.2,1.518e+05,1.986e+03,6.968e+03,1.608e+05
134.7,2.579e+04,1.199e+03,5.602e+03,3.259e+04
136.3,1.904e+04,9.896e+02,6.619e+03,2.665e+04
137.8,1.845e+04,7.030e+02,7.435e+03,2.659e+04
139.4,1.811e+04,5.879e+02,8.047e+03,2.674e+04
140.9,1.622e+04,5.625e+02,8.669e+03,2.545e+04
142.5,1.387e+04,5.047e+02,9.226e+03,2.360e+04
144.0,1.237e+04,4.899e+02,9.800e+03,2.266e+04
145.6,1.248e+04,7.862e+02,1.097e+04,2.423e+04
147.1,1.231e+04,1.612e+03,1.202e+04,2.594e+04
148.7,1.145e+04,2.150e+03,1.542e+04,2.902e+04
150.2,1.129e+04,1.796e+03,1.566e+04,2.875e+04
151.8,1.206e+04,1.274e+03,1.374e+04,2.708e+04
153.3,1.427e+04,7.542e+02,1.266e+04,2.769e+04
154.8,1.326e+04,5.643e+02,1.134e+04,2.517e+04
156.4,1.122e+04,3.596e+02,9.098e+03,2.068e+04
157.9,1.100e+04,3.348e+02,8.419e+03,1.976e+04
159.5,1.844e+04,2.069e+03,2.502e+04,4.553e+04
161.0,2.391e+04,3.086e+03,4.326e+04,7.025e+04
162.6,1.558e+04,1.057e+03,2.047e+04,3.710e+04
164.1,1.164e+04,1.434e+02,7.577e+03,1.936e+04
165.7,1.262e+04,1.148e+02,6.637e+03,1.937e+04
167.2,1.470e+04,1.099e+02,6.367e+03,2.118e+04
168.8,1.674e+04,1.309e+02,7.333e+03,2.421e+04
170.3,1.728e+04,1.479e+02,9.901e+03,2.733e+04
171.9,1.788e+04,1.786e+02,1.267e+04,3.072e+04
173.4,1.815e+04,1.848e+02,1.400e+04,3.233e+04
175.0,1.601e+04,1.913e+02,1.530e+04,3.151e+04
176.5,1.528e+04,2.198e+02,1.851e+04,3.402e+04
178.1,1.556e+04,2.631e+02,2.369e+04,3.952e+04
179.6,1.579e+04,2.805e+02,2.592e+04,4.199e+04
181.2,1.765e+04,3.271e+02,3.001e+04,4.799e+04
182.7,1.928e+04,3.672e+02,3.438e+04,5.402e+04
184.3,1.898e+04,3.281e+02,3.764e+04,5.694e+04
185.8,2.023e+04,2.813e+02,3.268e+04,5.319e+04
187.4,2.179e+04,2.639e+02,3.227e+04,5.432e+04
