freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.139e+01,2.622e+02,8.698e+01,3.806e+02
1.5,3.027e+01,1.600e+02,5.676e+01,2.470e+02
3.1,1.517e+01,2.969e+01,1.190e+01,5.676e+01
4.6,1.548e+01,3.305e+02,1.709e+01,3.631e+02
6.2,2.256e+01,1.146e+03,2.683e+01,1.196e+03
7.7,2.201e+01,1.969e+03,3.413e+01,2.026e+03
9.3,2.364e+01,2.976e+03,5.339e+01,3.053e+03
10.8,3.040e+01,3.545e+03,6.722e+01,3.642e+03
12.4,3.374e+01,3.916e+03,3.672e+01,3.987e+03
13.9,3.146e+01,5.253e+03,3.935e+01,5.324e+03
15.5,3.956e+01,6.792e+03,4.647e+01,6.878e+03
17.0,5.390e+01,8.404e+03,5.402e+01,8.512e+03
18.6,3.555e+01,1.040e+04,6.078e+01,1.050e+04
20.1,3.782e+01,1.257e+04,7.274e+01,1.268e+04
21.7,3.191e+01,1.416e+04,7.929e+01,1.427e+04
23.2,4.192e+01,1.620e+04,8.083e+01,1.632e+04
24.8,8.936e+01,1.943e+04,7.163e+01,1.959e+04
26.3,1.267e+02,2.475e+04,6.468e+01,2.494e+04
27.9,1.450e+02,3.134e+04,5.643e+01,3.154e+04
29.4,2.338e+02,3.576e+04,5.143e+01,3.604e+04
31.0,4.264e+02,4.215e+04,7.097e+01,4.264e+04
32.5,5.816e+02,5.009e+04,8.015e+01,5.075e+04
34.1,6.355e+02,4.954e+04,1.037e+02,5.028e+04
35.6,5.604e+02,4.549e+04,1.087e+02,4.616e+04
37.1,7.345e+02,5.206e+04,8.999e+01,5.288e+04
38.7,1.257e+03,6.204e+04,8.479e+01,6.338e+04
40.2,1.433e+03,6.480e+04,1.046e+02,6.634e+04
41.8,1.153e+03,6.455e+04,1.477e+02,6.585e+04
43.3,9.574e+02,7.724e+04,3.366e+02,7.853e+04
44.9,1.012e+03,1.018e+05,9.667e+02,1.038e+05
46.4,7.130e+02,1.291e+05,2.230e+03,1.320e+05
48.0,3.633e+02,1.618e+05,3.376e+03,1.656e+05
49.5,6.771e+02,2.244e+05,5.490e+03,2.306e+05
51.1,1.204e+03,2.924e+05,8.939e+03,3.025e+05
52.6,2.294e+03,3.160e+05,1.257e+04,3.308e+05
54.2,5.191e+03,3.104e+05,1.707e+04,3.327e+05
55.7,8.746e+03,3.494e+05,2.513e+04,3.833e+05
57.3,1.128e+04,4.445e+05,4.137e+04,4.972e+05
58.8,1.472e+04,5.877e+05,7.228e+04,6.747e+05
60.4,1.803e+04,6.411e+05,1.047e+05,7.639e+05
61.9,1.921e+04,5.423e+05,1.179e+05,6.794e+05
63.5,1.986e+04,4.234e+05,1.209e+05,5.642e+05
65.0,2.374e+04,3.126e+05,1.168e+05,4.531e+05
66.6,2.996e+04,2.063e+05,1.105e+05,3.468e+05
68.1,3.303e+04,1.395e+05,1.126e+05,2.852e+05
69.6,3.481e+04,9.067e+04,1.135e+05,2.390e+05
71.2,2.697e+04,5.145e+04,1.174e+05,1.958e+05
72.7,1.220e+04,3.137e+04,1.215e+05,1.651e+05
74.3,7.451e+03,1.672e+04,9.611e+04,1.203e+05
75.8,1.215e+04,1.340e+04,9.111e+04,1.167e+05
77.4,2.811e+04,3.324e+04,1.279e+05,1.893e+05
78.9,6.983e+04,9.266e+04,2.250e+05,3.875e+05
80.5,1.174e+05,1.915e+05,3.411e+05,6.499e+05
82.0,1.382e+05,2.958e+05,3.754e+05,8.094e+05
83.6,1.349e+05,3.554e+05,3.351e+05,8.254e+05
85.1,1.207e+05,3.829e+05,2.628e+05,7.664e+05
86.7,1.048e+05,3.800e+05,2.110e+05,6.958e+05
88.2,9.296e+04,3.583e+05,1.767e+05,6.280e+05
89.8,8.018e+04,3.351e+05,1.510e+05,5.663e+05
91.3,6.645e+04,3.040e+05,1.354e+05,5.058e+05
92.9,5.561e+04,2.792e+05,1.177e+05,4.525e+05
94.4,4.901e+04,2.597e+05,9.960e+04,4.083e+05
96.0,5.003e+04,2.422e+05,8.597e+04,3.782e+05
97.5,5.487e+04,2.270e+05,7.674e+04,3.586e+05
99.1,5.919e+04,2.113e+05,7.019e+04,3.406e+05
100.6,5.963e+04,1.981e+05,6.508e+04,3.228e+05
102.2,5.576e+04,1.878e+05,6.015e+04,3.037e+05
103.7,5.251e+04,1.771e+05,5.497e+04,2.846e+05
105.2,4.956e+04,1.655e+05,4.987e+04,2.649e+05
106.8,4.686e+04,1.563e+05,4.531e+04,2.484e+05
108.3,4.416e+04,1.486e+05,4.122e+04,2.340e+05
109.9,4.743e+04,1.402e+05,3.824e+04,2.259e+05
111.4,5.139e+04,1.310e+05,3.576e+04,2.181e+05
113.0,5.053e+04,1.235e+05,3.282e+04,2.068e+05
114.5,4.865e+04,1.171e+05,3.030e+04,1.961e+05
116.1,4.680e+04,1.110e+05,2.859e+04,1.864e+05
117.6,4.658e+04,1.062e+05,2.676e+04,1.796e+05
119.2,5.043e+04,1.002e+05,2.436e+04,1.749e+05
120.7,5.396e+04,7.687e+04,1.998e+04,1.508e+05
122.3,6.148e+04,5.526e+04,1.696e+04,1.337e+05
123.8,5.577e+04,5.757e+04,1.645e+04,1.298e+05
125.4,3.435e+04,5.974e+04,1.418e+04,1.083e+05
126.9,3.893e+04,6.398e+04,1.471e+04,1.176e+05
128.5,4.294e+04,6.497e+04,1.516e+04,1.231e+05
130.0,3.735e+04,6.318e+04,1.390e+04,1.144e+05
131.6,3.143e+04,5.908e+04,1.233e+04,1.028e+05
133.1,1.754e+04,3.138e+04,7.199e+03,5.612e+04
134.7,4.502e+03,5.442e+03,2.701e+03,1.264e+04
136.2,3.079e+03,2.953e+03,1.993e+03,8.026e+03
137.8,2.946e+03,2.624e+03,1.674e+03,7.244e+03
139.3,2.135e+03,2.478e+03,2.207e+03,6.820e+03
140.8,1.332e+03,2.344e+03,3.029e+03,6.705e+03
142.4,1.542e+03,2.226e+03,4.229e+03,7.998e+03
143.9,2.687e+03,2.112e+03,5.016e+03,9.815e+03
145.5,3.517e+03,2.017e+03,5.096e+03,1.063e+04
147.0,4.811e+03,2.088e+03,6.936e+03,1.383e+04
148.6,4.204e+03,2.281e+03,8.677e+03,1.516e+04
150.1,3.574e+03,2.097e+03,1.153e+04,1.720e+04
151.7,5.126e+03,2.101e+03,1.392e+04,2.115e+04
153.2,7.111e+03,1.948e+03,1.433e+04,2.339e+04
154.8,9.155e+03,1.727e+03,1.715e+04,2.803e+04
156.3,1.515e+04,1.811e+03,1.939e+04,3.635e+04
157.9,2.385e+04,2.161e+03,2.068e+04,4.669e+04
159.4,3.425e+04,2.724e+03,2.296e+04,5.993e+04
161.0,4.154e+04,3.451e+03,3.411e+04,7.910e+04
162.5,4.048e+04,3.719e+03,4.868e+04,9.288e+04
164.1,4.091e+04,3.768e+03,6.559e+04,1.103e+05
165.6,4.459e+04,4.058e+03,9.057e+04,1.392e+05
167.2,4.617e+04,4.604e+03,1.166e+05,1.673e+05
168.7,4.171e+04,5.443e+03,1.475e+05,1.947e+05
170.3,4.022e+04,6.902e+03,2.003e+05,2.474e+05
171.8,4.295e+04,8.201e+03,2.564e+05,3.076e+05
173.4,4.454e+04,8.220e+03,2.728e+05,3.256e+05
174.9,4.498e+04,7.688e+03,2.722e+05,3.249e+05
176.4,3.961e+04,8.120e+03,3.364e+05,3.842e+05
178.0,3.064e+04,8.760e+03,4.182e+05,4.575e+05
179.5,2.830e+04,8.951e+03,4.521e+05,4.893e+05
181.1,3.300e+04,8.608e+03,4.375e+05,4.791e+05
182.6,3.784e+04,7.850e+03,4.006e+05,4.463e+05
184.2,4.115e+04,6.704e+03,3.591e+05,4.069e+05
185.7,4.340e+04,5.346e+03,3.069e+05,3.556e+05
187.3,4.625e+04,4.002e+03,2.495e+05,2.997e+05
188.8,4.981e+04,2.785e+03,1.923e+05,2.449e+05
190.4,5.131e+04,2.016e+03,1.456e+05,1.989e+05
191.9,5.195e+04,1.631e+03,1.073e+05,1.609e+05
193.5,5.137e+04,1.359e+03,7.406e+04,1.268e+05
195.0,4.586e+04,1.347e+03,5.518e+04,1.024e+05
196.6,3.839e+04,1.341e+03,4.216e+04,8.189e+04
198.1,3.408e+04,1.358e+03,3.123e+04,6.667e+04
199.7,3.063e+04,1.259e+03,2.271e+04,5.459e+04
